,date,Open,High,Low,Close,bitcoin
19404,2017-03-19 06:00:00,1001.52,1002.76,996.03,997.07,1.66267596449
19405,2017-03-19 07:00:00,997.07,1008.48,995.64,1005.47,1.56766590938
19406,2017-03-19 08:00:00,1006.55,1007.79,997.57,1000.7,1.52016088182
19407,2017-03-19 09:00:00,1001.01,1001.5,973.0,976.0,1.52016088182
19408,2017-03-19 10:00:00,976.76,991.61,973.45,989.71,1.56766590938
19409,2017-03-19 11:00:00,989.71,994.9,987.27,990.96,1.47265585426
19410,2017-03-19 12:00:00,993.91,1001.5,991.18,994.0,1.49640836804
19411,2017-03-19 13:00:00,994.0,996.04,980.01,986.0,1.49640836804
19412,2017-03-19 14:00:00,987.45,995.0,985.05,994.21,1.52016088182
19413,2017-03-19 15:00:00,994.21,1024.92,987.84,1021.4,1.59141842316
19414,2017-03-19 16:00:00,1021.44,1046.9,1011.0,1043.4,1.59141842316
19415,2017-03-19 17:00:00,1039.77,1045.0,1026.5,1034.98,1.5439133956
19416,2017-03-19 18:00:00,1034.97,1045.0,1029.04,1043.66,1.47265585426
19417,2017-03-19 19:00:00,1043.0,1063.7,1041.0,1053.0,1.8764485885
19418,2017-03-19 20:00:00,1053.0,1056.0,1036.3,1051.82,2.23273629518
19419,2017-03-19 21:00:00,1051.82,1055.12,1034.5,1039.8,1.75768601961
19420,2017-03-19 22:00:00,1039.95,1040.0,1010.75,1034.8,1.80519104716
19421,2017-03-19 23:00:00,1034.79,1035.98,1006.56,1017.97,1.82894356094
19422,2017-03-20 00:00:00,1012.88,1024.24,1010.61,1019.95,1.75768601961
19423,2017-03-20 01:00:00,1019.97,1029.38,1017.19,1023.85,1.68642847827
19424,2017-03-20 02:00:00,1024.19,1039.49,1024.19,1029.17,1.78143853338
19425,2017-03-20 03:00:00,1030.07,1040.1,1029.17,1034.28,1.73393350583
19426,2017-03-20 04:00:00,1034.28,1035.35,1029.61,1031.64,1.71018099205
19427,2017-03-20 05:00:00,1032.28,1034.07,1024.38,1025.91,1.63892345071
19428,2017-03-20 06:00:00,1026.34,1026.34,1010.1,1022.75,1.59141842316
19429,2017-03-20 07:00:00,1019.02,1026.5,1011.0,1023.11,1.49640836804
19430,2017-03-20 08:00:00,1025.82,1025.82,1010.11,1012.39,1.56766590938
19431,2017-03-20 09:00:00,1010.1,1033.0,1010.01,1033.0,1.49640836804
19432,2017-03-20 10:00:00,1032.0,1040.98,1029.99,1040.27,1.44890334049
19433,2017-03-20 11:00:00,1040.27,1046.68,1036.63,1046.6,1.52016088182
19434,2017-03-20 12:00:00,1046.6,1049.03,1039.0,1049.0,1.49640836804
19435,2017-03-20 13:00:00,1048.99,1053.0,1044.5,1047.81,1.49640836804
19436,2017-03-20 14:00:00,1048.0,1048.0,1035.07,1038.4,1.56766590938
19437,2017-03-20 15:00:00,1037.5,1048.0,1036.72,1043.31,1.5439133956
19438,2017-03-20 16:00:00,1043.31,1047.9,1041.8,1047.9,1.59141842316
19439,2017-03-20 17:00:00,1047.91,1050.49,1040.1,1045.83,1.56766590938
19440,2017-03-20 18:00:00,1045.96,1049.78,1040.0,1043.5,1.56766590938
19441,2017-03-20 19:00:00,1042.39,1043.7,1025.01,1034.94,1.5439133956
19442,2017-03-20 20:00:00,1034.93,1034.99,1025.0,1027.61,1.63892345071
19443,2017-03-20 21:00:00,1027.22,1042.0,1027.22,1040.38,1.68642847827
19444,2017-03-20 22:00:00,1041.11,1041.15,1037.7,1038.97,1.75768601961
19445,2017-03-20 23:00:00,1038.4,1040.12,1030.82,1035.96,1.75768601961
19446,2017-03-21 00:00:00,1036.23,1049.0,1034.92,1048.98,1.68642847827
19447,2017-03-21 01:00:00,1048.89,1049.97,1042.71,1049.32,1.71018099205
19448,2017-03-21 02:00:00,1048.58,1050.31,1046.35,1050.31,1.68642847827
19449,2017-03-21 03:00:00,1050.31,1063.0,1049.85,1063.0,1.73393350583
19450,2017-03-21 04:00:00,1061.42,1077.0,1060.0,1077.0,1.73393350583
19451,2017-03-21 05:00:00,1077.0,1080.0,1071.64,1077.0,1.68642847827
19452,2017-03-21 06:00:00,1077.0,1083.17,1068.17,1083.16,1.59141842316
19453,2017-03-21 07:00:00,1083.11,1083.49,1075.54,1076.47,1.49640836804
19454,2017-03-21 08:00:00,1075.54,1081.5,1072.6,1077.4,1.44890334049
19455,2017-03-21 09:00:00,1078.05,1081.51,1070.0,1071.22,1.44890334049
19456,2017-03-21 10:00:00,1072.21,1076.34,1067.51,1071.54,1.44890334049
19457,2017-03-21 11:00:00,1070.47,1085.13,1070.02,1085.13,1.42515082671
19458,2017-03-21 12:00:00,1085.31,1094.5,1085.31,1088.0,1.47265585426
19459,2017-03-21 13:00:00,1088.0,1093.06,1075.66,1087.01,1.42515082671
19460,2017-03-21 14:00:00,1087.01,1094.5,1085.02,1088.94,1.47265585426
19461,2017-03-21 15:00:00,1087.0,1092.0,1086.25,1087.33,1.52016088182
19462,2017-03-21 16:00:00,1089.48,1105.99,1087.37,1105.99,1.5439133956
19463,2017-03-21 17:00:00,1106.0,1117.9,1104.64,1112.01,1.61517093694
19464,2017-03-21 18:00:00,1112.0,1112.81,1102.94,1106.89,1.61517093694
19465,2017-03-21 19:00:00,1106.71,1110.72,1103.0,1110.57,1.59141842316
19466,2017-03-21 20:00:00,1110.7,1116.62,1085.01,1093.0,1.63892345071
19467,2017-03-21 21:00:00,1092.07,1109.0,1092.07,1106.4,1.78143853338
19468,2017-03-21 22:00:00,1105.65,1117.64,1105.65,1115.7,1.75768601961
19469,2017-03-21 23:00:00,1115.77,1115.77,1103.63,1114.39,1.75768601961
19470,2017-03-22 00:00:00,1114.39,1114.39,1101.11,1101.11,1.75768601961
19471,2017-03-22 01:00:00,1102.39,1106.1,1095.05,1103.93,1.68642847827
19472,2017-03-22 02:00:00,1103.92,1103.92,1089.0,1091.15,1.68642847827
19473,2017-03-22 03:00:00,1090.82,1095.21,1089.05,1093.96,1.68642847827
19474,2017-03-22 04:00:00,1093.96,1097.99,1089.0,1096.01,1.66267596449
19475,2017-03-22 05:00:00,1096.6,1099.26,1096.38,1099.26,1.59141842316
19476,2017-03-22 06:00:00,1099.15,1099.72,1091.38,1091.5,1.49640836804
19477,2017-03-22 07:00:00,1091.57,1092.44,1055.0,1057.0,1.52016088182
19478,2017-03-22 08:00:00,1056.01,1073.01,1041.74,1046.56,1.52016088182
19479,2017-03-22 09:00:00,1047.32,1067.0,1045.45,1067.0,1.49640836804
19480,2017-03-22 10:00:00,1066.98,1083.87,1055.36,1078.58,1.44890334049
19481,2017-03-22 11:00:00,1080.87,1082.94,1067.65,1067.66,1.44890334049
19482,2017-03-22 12:00:00,1067.66,1074.56,1054.33,1057.42,1.40139831293
19483,2017-03-22 13:00:00,1057.42,1062.67,1018.81,1019.61,1.52016088182
19484,2017-03-22 14:00:00,1019.6,1027.04,1001.7,1021.77,1.59141842316
19485,2017-03-22 15:00:00,1021.77,1024.29,1007.56,1016.98,1.5439133956
19486,2017-03-22 16:00:00,1015.04,1032.0,1011.35,1023.88,1.5439133956
19487,2017-03-22 17:00:00,1023.5,1026.49,1008.0,1015.0,1.56766590938
19488,2017-03-22 18:00:00,1015.39,1016.08,988.0,1002.35,1.66267596449
19489,2017-03-22 19:00:00,1001.01,1024.59,991.51,1012.07,1.61517093694
19490,2017-03-22 20:00:00,1011.4,1014.56,1001.0,1009.45,1.66267596449
19491,2017-03-22 21:00:00,1009.46,1020.39,1005.57,1012.03,1.66267596449
19492,2017-03-22 22:00:00,1013.0,1023.0,1008.4,1023.0,1.68642847827
19493,2017-03-22 23:00:00,1024.27,1039.88,1024.27,1037.56,1.63892345071
19494,2017-03-23 00:00:00,1037.6,1042.27,1030.82,1030.96,1.71018099205
19495,2017-03-23 00:00:00,1037.6,1042.27,1030.82,1030.96,1.79788258138
19496,2017-03-23 01:00:00,1032.45,1034.5,1022.51,1029.94,1.71018099205
19497,2017-03-23 02:00:00,1027.86,1035.26,1026.2,1027.38,1.75403178672
19498,2017-03-23 03:00:00,1027.38,1035.43,1027.22,1034.98,1.75403178672
19499,2017-03-23 04:00:00,1034.98,1034.99,1016.9,1021.65,1.71018099205
19500,2017-03-23 05:00:00,1019.14,1021.39,1010.69,1017.98,1.79788258138
19501,2017-03-23 06:00:00,1017.89,1029.5,1013.77,1029.47,1.68825559472
19502,2017-03-23 07:00:00,1029.47,1039.0,1028.01,1037.9,1.55670321071
19503,2017-03-23 08:00:00,1037.9,1040.9,1028.18,1040.9,1.51285241604
19504,2017-03-23 09:00:00,1040.9,1041.05,1029.11,1032.79,1.53477781338
19505,2017-03-23 10:00:00,1032.78,1035.95,1023.48,1035.95,1.53477781338
19506,2017-03-23 11:00:00,1034.9,1054.4,1034.9,1045.3,1.60055400538
19507,2017-03-23 12:00:00,1045.3,1053.7,1042.5,1046.4,1.55670321071
19508,2017-03-23 13:00:00,1047.62,1051.66,1045.0,1049.42,1.60055400538
19509,2017-03-23 14:00:00,1049.42,1052.0,1041.05,1045.92,1.60055400538
19510,2017-03-23 15:00:00,1045.0,1048.86,1042.0,1044.13,1.62247940271
19511,2017-03-23 16:00:00,1044.4,1046.2,1042.78,1043.05,1.53477781338
19512,2017-03-23 17:00:00,1042.93,1043.05,1032.77,1039.58,1.55670321071
19513,2017-03-23 18:00:00,1039.59,1040.88,1032.18,1035.8,1.57862860805
19514,2017-03-23 19:00:00,1035.75,1040.15,1034.2,1039.24,1.53477781338
19515,2017-03-23 20:00:00,1036.92,1042.48,1036.92,1039.1,1.57862860805
19516,2017-03-23 21:00:00,1040.24,1040.24,1026.01,1028.8,1.62247940271
19517,2017-03-23 22:00:00,1028.41,1034.97,1023.61,1023.61,1.71018099205
19518,2017-03-23 23:00:00,1023.02,1031.0,1022.1,1029.65,1.66633019738
19519,2017-03-24 00:00:00,1030.84,1032.0,1021.26,1022.91,1.68825559472
19520,2017-03-24 01:00:00,1021.26,1024.05,1012.0,1013.41,1.62247940271
19521,2017-03-24 02:00:00,1012.0,1018.73,1009.5,1015.99,1.66633019738
19522,2017-03-24 03:00:00,1015.99,1018.99,1012.99,1012.99,1.71018099205
19523,2017-03-24 04:00:00,1010.33,1012.71,992.0,998.38,1.81980797872
19524,2017-03-24 05:00:00,995.0,1023.0,993.0,1015.64,1.66633019738
19525,2017-03-24 06:00:00,1015.63,1015.63,1005.1,1011.0,1.55670321071
19526,2017-03-24 07:00:00,1010.78,1019.47,1008.47,1012.7,1.44707622404
19527,2017-03-24 08:00:00,1009.54,1019.46,1005.59,1013.5,1.44707622404
19528,2017-03-24 09:00:00,1013.1,1015.49,1005.0,1007.7,1.49092701871
19529,2017-03-24 10:00:00,1007.7,1009.33,993.55,998.5,1.46900162138
19530,2017-03-24 11:00:00,998.11,1004.23,980.02,994.34,1.62247940271
19531,2017-03-24 12:00:00,990.96,999.09,969.0,969.34,1.66633019738
19532,2017-03-24 13:00:00,968.3,983.0,968.28,977.0,1.75403178672
19533,2017-03-24 14:00:00,976.99,995.0,976.99,988.99,1.60055400538
19534,2017-03-24 15:00:00,988.99,996.84,988.38,989.97,1.60055400538
19535,2017-03-24 16:00:00,989.7,990.57,973.0,978.32,1.68825559472
19536,2017-03-24 17:00:00,981.23,987.18,977.66,987.08,1.66633019738
19537,2017-03-24 18:00:00,986.54,986.96,974.0,977.0,1.64440480005
19538,2017-03-24 19:00:00,976.97,976.97,960.1,975.85,1.68825559472
19539,2017-03-24 20:00:00,975.85,975.85,960.0,962.46,1.73210638938
19540,2017-03-24 21:00:00,960.48,963.32,940.0,949.49,1.88558417072
19541,2017-03-24 22:00:00,949.49,949.98,921.0,926.0,2.12676354139
19542,2017-03-24 23:00:00,926.0,943.94,920.0,929.06,2.17061433606
19543,2017-03-25 00:00:00,928.1,943.68,920.0,934.3,2.01713655472
19544,2017-03-25 01:00:00,934.3,934.3,920.5,928.0,1.99521115739
19545,2017-03-25 02:00:00,928.0,937.58,924.0,935.41,1.90750956805
19546,2017-03-25 03:00:00,931.28,933.95,915.0,919.75,1.95136036272
19547,2017-03-25 04:00:00,919.75,921.24,894.53,897.97,2.17061433606
19548,2017-03-25 05:00:00,897.97,912.25,895.97,895.97,2.1925397334
19549,2017-03-25 06:00:00,897.78,907.9,895.0,896.42,2.12676354139
19550,2017-03-25 07:00:00,896.0,933.97,895.84,928.15,1.88558417072
19551,2017-03-25 08:00:00,925.62,929.15,891.46,892.0,1.75403178672
19552,2017-03-25 09:00:00,891.99,918.76,891.33,915.8,1.77595718405
19553,2017-03-25 10:00:00,914.99,918.48,905.92,906.02,1.73210638938
19554,2017-03-25 11:00:00,906.02,910.24,896.82,908.65,1.75403178672
19555,2017-03-25 12:00:00,908.62,924.32,900.63,921.0,1.71018099205
19556,2017-03-25 13:00:00,920.0,949.18,914.27,937.99,1.68825559472
19557,2017-03-25 14:00:00,935.97,944.0,925.86,941.05,1.73210638938
19558,2017-03-25 15:00:00,941.1,944.27,929.12,930.8,1.77595718405
19559,2017-03-25 16:00:00,930.19,931.47,917.28,924.24,1.62247940271
19560,2017-03-25 17:00:00,926.82,955.59,926.82,951.28,1.53477781338
19561,2017-03-25 18:00:00,951.28,951.28,940.05,945.99,1.51285241604
19562,2017-03-25 19:00:00,945.99,946.61,942.01,942.01,1.51285241604
19563,2017-03-25 20:00:00,941.51,944.02,932.84,944.02,1.53477781338
19564,2017-03-25 21:00:00,941.35,955.0,941.34,952.12,1.55670321071
19565,2017-03-25 22:00:00,951.96,951.96,942.89,949.2,1.62247940271
19566,2017-03-25 23:00:00,949.2,963.36,948.36,956.02,1.68825559472
19567,2017-03-26 00:00:00,956.02,963.36,950.7,954.03,1.62247940271
19568,2017-03-26 01:00:00,956.0,958.39,943.91,953.17,1.55670321071
19569,2017-03-26 02:00:00,953.17,953.17,945.56,950.23,1.57862860805
19570,2017-03-26 03:00:00,950.23,963.17,950.23,955.01,1.64440480005
19571,2017-03-26 04:00:00,955.09,957.93,946.59,952.85,1.60055400538
19572,2017-03-26 05:00:00,952.8,953.71,950.0,953.71,1.55670321071
19573,2017-03-26 06:00:00,953.74,957.67,950.91,954.0,1.53477781338
19574,2017-03-26 07:00:00,954.0,954.0,940.0,944.22,1.42515082671
19575,2017-03-26 08:00:00,944.22,951.59,940.01,950.13,1.33744923737
19576,2017-03-26 09:00:00,950.04,959.21,950.04,956.92,1.33744923737
19577,2017-03-26 10:00:00,956.92,965.0,956.14,963.96,1.35937463471
19578,2017-03-26 11:00:00,963.96,970.0,961.02,963.98,1.38130003204
19579,2017-03-26 12:00:00,963.0,978.81,963.0,973.74,1.35937463471
19580,2017-03-26 13:00:00,973.74,990.0,973.74,987.99,1.42515082671
19581,2017-03-26 14:00:00,987.32,990.0,974.03,983.83,1.42515082671
19582,2017-03-26 15:00:00,983.18,997.0,983.11,992.28,1.55670321071
